p_trigger_needed,cash_out,preserve_cost,trigger_payoff,direct_payoff,mismatch_payoff,h1_action,h2_action,h1_q_cash,h1_q_preserve,h2_q_cash,h2_q_preserve,context_value,option_value,horizon_reversal
0.05,9.5,4.0,13.0,9.0,0.0,cash_out,cash_out,9.5,-4.0,9.5,4.549999999999999,8.549999999999999,-4.950000000000001,0.0
0.05,10.0,0.0,13.0,9.0,0.0,cash_out,cash_out,10.0,0.0,10.0,8.549999999999999,8.549999999999999,-1.450000000000001,0.0
0.05,10.0,0.5,13.0,9.0,0.0,cash_out,cash_out,10.0,-0.5,10.0,8.049999999999999,8.549999999999999,-1.950000000000001,0.0
0.05,10.0,1.0,13.0,9.0,0.0,cash_out,cash_out,10.0,-1.0,10.0,7.549999999999999,8.549999999999999,-2.450000000000001,0.0
0.05,10.0,1.5,13.0,9.0,0.0,cash_out,cash_out,10.0,-1.5,10.0,7.049999999999999,8.549999999999999,-2.950000000000001,0.0
0.05,10.0,2.0,13.0,9.0,0.0,cash_out,cash_out,10.0,-2.0,10.0,6.549999999999999,8.549999999999999,-3.450000000000001,0.0
0.05,10.0,2.5,13.0,9.0,0.0,cash_out,cash_out,10.0,-2.5,10.0,6.049999999999999,8.549999999999999,-3.950000000000001,0.0
0.05,10.0,3.0,13.0,9.0,0.0,cash_out,cash_out,10.0,-3.0,10.0,5.549999999999999,8.549999999999999,-4.450000000000001,0.0
0.05,10.0,3.5,13.0,9.0,0.0,cash_out,cash_out,10.0,-3.5,10.0,5.049999999999999,8.549999999999999,-4.950000000000001,0.0
0.05,10.0,4.0,13.0,9.0,0.0,cash_out,cash_out,10.0,-4.0,10.0,4.549999999999999,8.549999999999999,-5.450000000000001,0.0
0.05,10.5,0.0,13.0,9.0,0.0,cash_out,cash_out,10.5,0.0,10.5,8.549999999999999,8.549999999999999,-1.950000000000001,0.0
0.05,10.5,0.5,13.0,9.0,0.0,cash_out,cash_out,10.5,-0.5,10.5,8.049999999999999,8.549999999999999,-2.450000000000001,0.0
0.05,10.5,1.0,13.0,9.0,0.0,cash_out,cash_out,10.5,-1.0,10.5,7.549999999999999,8.549999999999999,-2.950000000000001,0.0
0.05,10.5,1.5,13.0,9.0,0.0,cash_out,cash_out,10.5,-1.5,10.5,7.049999999999999,8.549999999999999,-3.450000000000001,0.0
0.05,10.5,2.0,13.0,9.0,0.0,cash_out,cash_out,10.5,-2.0,10.5,6.549999999999999,8.549999999999999,-3.950000000000001,0.0
0.05,10.5,2.5,13.0,9.0,0.0,cash_out,cash_out,10.5,-2.5,10.5,6.049999999999999,8.549999999999999,-4.450000000000001,0.0
0.05,10.5,3.0,13.0,9.0,0.0,cash_out,cash_out,10.5,-3.0,10.5,5.549999999999999,8.549999999999999,-4.950000000000001,0.0
0.05,10.5,3.5,13.0,9.0,0.0,cash_out,cash_out,10.5,-3.5,10.5,5.049999999999999,8.549999999999999,-5.450000000000001,0.0
0.05,10.5,4.0,13.0,9.0,0.0,cash_out,cash_out,10.5,-4.0,10.5,4.549999999999999,8.549999999999999,-5.950000000000001,0.0
0.05,11.0,0.0,13.0,9.0,0.0,cash_out,cash_out,11.0,0.0,11.0,8.549999999999999,8.549999999999999,-2.450000000000001,0.0
0.05,11.0,0.5,13.0,9.0,0.0,cash_out,cash_out,11.0,-0.5,11.0,8.049999999999999,8.549999999999999,-2.950000000000001,0.0
0.05,11.0,1.0,13.0,9.0,0.0,cash_out,cash_out,11.0,-1.0,11.0,7.549999999999999,8.549999999999999,-3.450000000000001,0.0
0.05,11.0,1.5,13.0,9.0,0.0,cash_out,cash_out,11.0,-1.5,11.0,7.049999999999999,8.549999999999999,-3.950000000000001,0.0
0.05,11.0,2.0,13.0,9.0,0.0,cash_out,cash_out,11.0,-2.0,11.0,6.549999999999999,8.549999999999999,-4.450000000000001,0.0
0.05,11.0,2.5,13.0,9.0,0.0,cash_out,cash_out,11.0,-2.5,11.0,6.049999999999999,8.549999999999999,-4.950000000000001,0.0
0.05,11.0,3.0,13.0,9.0,0.0,cash_out,cash_out,11.0,-3.0,11.0,5.549999999999999,8.549999999999999,-5.450000000000001,0.0
0.05,11.0,3.5,13.0,9.0,0.0,cash_out,cash_out,11.0,-3.5,11.0,5.049999999999999,8.549999999999999,-5.950000000000001,0.0
0.05,11.0,4.0,13.0,9.0,0.0,cash_out,cash_out,11.0,-4.0,11.0,4.549999999999999,8.549999999999999,-6.450000000000001,0.0
0.05,11.5,0.0,13.0,9.0,0.0,cash_out,cash_out,11.5,0.0,11.5,8.549999999999999,8.549999999999999,-2.950000000000001,0.0
0.05,11.5,0.5,13.0,9.0,0.0,cash_out,cash_out,11.5,-0.5,11.5,8.049999999999999,8.549999999999999,-3.450000000000001,0.0
0.05,11.5,1.0,13.0,9.0,0.0,cash_out,cash_out,11.5,-1.0,11.5,7.549999999999999,8.549999999999999,-3.950000000000001,0.0
0.05,11.5,1.5,13.0,9.0,0.0,cash_out,cash_out,11.5,-1.5,11.5,7.049999999999999,8.549999999999999,-4.450000000000001,0.0
0.05,11.5,2.0,13.0,9.0,0.0,cash_out,cash_out,11.5,-2.0,11.5,6.549999999999999,8.549999999999999,-4.950000000000001,0.0
0.05,11.5,2.5,13.0,9.0,0.0,cash_out,cash_out,11.5,-2.5,11.5,6.049999999999999,8.549999999999999,-5.450000000000001,0.0
