2026-07-21T09:24:01+08:00 proxy down; waiting
2026-07-21T09:26:01+08:00 proxy down; waiting
2026-07-21T09:28:01+08:00 proxy down; waiting
2026-07-21T09:30:01+08:00 proxy down; waiting
2026-07-21T09:32:01+08:00 proxy down; waiting
2026-07-21T09:34:01+08:00 proxy down; waiting
2026-07-21T09:36:01+08:00 proxy down; waiting
2026-07-21T09:38:01+08:00 proxy down; waiting
2026-07-21T09:40:01+08:00 proxy down; waiting
2026-07-21T09:42:01+08:00 proxy down; waiting
2026-07-21T09:44:04+08:00 proxy OK; starting collapse probe
2026-07-21T10:07:34+08:00 collapse probe exited (0)
2026-07-21T10:09:34+08:00 proxy down; waiting
2026-07-21T10:11:34+08:00 proxy down; waiting
2026-07-21T10:13:34+08:00 proxy down; waiting
2026-07-21T10:15:34+08:00 proxy down; waiting
2026-07-21T10:17:34+08:00 proxy down; waiting
2026-07-21T10:19:34+08:00 proxy down; waiting
2026-07-21T10:21:34+08:00 proxy down; waiting
2026-07-21T10:23:34+08:00 proxy down; waiting
2026-07-21T10:25:34+08:00 proxy down; waiting
2026-07-21T10:27:34+08:00 proxy down; waiting
2026-07-21T10:29:34+08:00 proxy down; waiting
2026-07-21T10:31:34+08:00 proxy down; waiting
2026-07-21T10:33:34+08:00 proxy down; waiting
2026-07-21T10:35:34+08:00 proxy down; waiting
2026-07-21T10:37:34+08:00 proxy down; waiting
2026-07-21T10:39:34+08:00 proxy down; waiting
2026-07-21T10:41:34+08:00 proxy down; waiting
2026-07-21T10:43:34+08:00 proxy down; waiting
2026-07-21T10:45:34+08:00 proxy down; waiting
2026-07-21T10:47:34+08:00 proxy down; waiting
2026-07-21T10:49:34+08:00 proxy down; waiting
2026-07-21T10:51:34+08:00 proxy down; waiting
2026-07-21T10:53:34+08:00 proxy down; waiting
2026-07-21T10:55:34+08:00 proxy down; waiting
2026-07-21T10:57:34+08:00 proxy down; waiting
2026-07-21T10:59:34+08:00 proxy down; waiting
2026-07-21T11:01:34+08:00 proxy down; waiting
2026-07-21T11:03:34+08:00 proxy down; waiting
