best_uci,collapse_best_bits,collapse_deep_alt_bits,collapse_greedy_bits,collapse_key_bits,collapse_random_bits,deep_alt_uci,greedy_uci,key_uci,kind,local_cost_best,local_cost_deep_alt,local_cost_greedy,local_cost_key,local_cost_random,p_win_base,p_win_best,p_win_deep_alt,p_win_greedy,p_win_key,p_win_random,potential_bits,puzzle_id,random_uci,rating,specificity_js_bits,themes,useful_shift_best,useful_shift_deep_alt,useful_shift_greedy,useful_shift_key,useful_shift_random
,,-0.8479383203763935,-0.5769684934058592,0.0625,0.9308927290103626,c5b5,c5b5,e1e6,sacrifice,,1.0,1.0,-4.0,4.0,0.8125,,0.375,0.1875,0.8125,0.0,0.9308927290103626,05FjS,c5a7,2314,0.1749891106241434,crushing middlegame sacrifice short,,-0.4375,-0.625,0.0,-0.8125
,,0.09494707507237665,-0.03506748254445036,0.5126286334053534,0.0716004412261495,a3a4,a3a4,d3f5,sacrifice,,0.0,0.0,-2.0,0.0,0.375,,0.1875,0.09375,0.59375,0.15625,2.0804399385868573,05Ewv,g1f1,2040,0.23161879671905408,advantage discoveredAttack discoveredCheck endgame fork sacrifice veryLong,,-0.1875,-0.28125,0.21875,-0.21875
,,-0.1280350471078502,-0.24476434378002532,0.9876250670625824,-0.05857196815397536,c1e3,c1e3,d4b5,sacrifice,,-3.0,-3.0,-3.0,-3.0,0.28125,,0.21875,0.21875,0.6875,0.0625,2.03022442259379,00vf5,g2g3,2162,0.36043999673398885,crushing long opening sacrifice,,-0.0625,-0.0625,0.40625,-0.21875
,,-0.4172690033705333,-0.770077300859132,0.14645287217033376,0.07929819452812881,b6b5,b6b5,f6h5,sacrifice,,-3.0,-3.0,5.0,0.0,0.6875,,0.5,0.28125,0.75,0.21875,1.4341407621868583,04JfE,g8f8,2358,0.0680209517912424,crushing middlegame sacrifice short,,-0.1875,-0.40625,0.0625,-0.46875
,,-1.1872350995930192,-1.122921928026036,0.7302704046976479,0.9308927290103626,d5c4,d5c4,d5g2,sacrifice,,0.0,0.0,-6.0,0.0,0.8125,,0.1875,0.3125,0.96875,0.0,0.9308927290103626,04DZk,d5d8,1965,0.5570332837815253,crushing discoveredAttack discoveredCheck kingsideAttack long opening sacrifice,,-0.625,-0.5,0.15625,-0.8125
,,-0.2500000000000002,0.028604792059435447,0.7102778398133445,1.735655800146418,d5e3,d5e3,d5b6,sacrifice,,0.0,-1.0,-3.0,-6.0,0.375,,0.1875,0.4375,0.65625,0.03125,1.9362781244591327,06Fnc,h8b8,1956,0.31416269696537374,advantage endgame long queensideAttack sacrifice,,-0.1875,0.0625,0.28125,-0.34375
,,0.10500438828552527,-0.2988829612307424,0.3437424396536831,1.0748068828532795,e4f5,e4f5,d5e5,sacrifice,,0.0,0.0,-2.0,-9.0,0.78125,,0.09375,0.125,0.875,0.0,1.0748068828532795,06J6T,a6e6,2179,0.5841599148710376,crushing master middlegame sacrifice short,,-0.6875,-0.65625,0.09375,-0.78125
,,-1.154375880068424,-0.6232312706458252,-0.7786543929964167,-0.8813717829277588,f2e3,g2g3,d3f5,sacrifice,,0.0,0.0,-3.0,0.0,0.84375,,0.4375,0.625,0.5625,0.5625,0.7769734356069651,05WEO,f2g1,1801,0.09809009211899293,advancedPawn bishopEndgame crushing endgame master sacrifice short,,-0.40625,-0.21875,-0.28125,-0.28125
,,0.341368535765739,0.5563010532212886,0.13882275176209746,0.5182919626682716,e7e4,e7e4,f4h3,sacrifice,,0.0,0.0,-2.0,-1.0,0.4375,,0.21875,0.28125,0.4375,0.1875,1.719801337867077,05YyB,g5h4,2301,0.05971516546940529,crushing fork middlegame sacrifice veryLong,,-0.21875,-0.15625,0.0,-0.25
,,-0.21280996691030785,-0.020486678623848453,-0.10969770900739051,0.7880770839757828,f4h2,f4h2,h4h2,sacrifice,,0.0,0.0,0.0,-3.0,0.4375,,0.1875,0.15625,0.78125,0.0,0.9886994082884974,06LQW,f4c1,2342,0.34150916319288793,attraction kingsideAttack mate mateIn4 middlegame sacrifice veryLong,,-0.25,-0.28125,0.34375,-0.4375
