Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[pair_F] {"steps": 86016, "elapsed_s": 88.3, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.6, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 88064, "elapsed_s": 91.0, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.65, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 90112, "elapsed_s": 93.1, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 92160, "elapsed_s": 95.5, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.6, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 94208, "elapsed_s": 97.8, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 96256, "elapsed_s": 100.5, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 98304, "elapsed_s": 103.0, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 100352, "elapsed_s": 105.3, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 102400, "elapsed_s": 107.9, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 104448, "elapsed_s": 111.0, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.6, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 106496, "elapsed_s": 113.3, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 108544, "elapsed_s": 115.8, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.5, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 110592, "elapsed_s": 118.2, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 112640, "elapsed_s": 120.9, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.65, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 114688, "elapsed_s": 123.0, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.7, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 116736, "elapsed_s": 125.6, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.7, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 118784, "elapsed_s": 128.0, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.7, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 120832, "elapsed_s": 130.3, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.65, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 122880, "elapsed_s": 133.3, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.6, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 124928, "elapsed_s": 136.2, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 126976, "elapsed_s": 138.5, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 129024, "elapsed_s": 141.7, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 131072, "elapsed_s": 144.3, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.55, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 133120, "elapsed_s": 146.9, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.4, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 135168, "elapsed_s": 149.8, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.3, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 137216, "elapsed_s": 151.9, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.4, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 139264, "elapsed_s": 154.0, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.35, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 141312, "elapsed_s": 156.3, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.35, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0}
[pair_F] {"steps": 143360, "elapsed_s": 159.4, "coordination_ring_sparse20": 0.0, "coordination_ring_potter0_20": 0.35, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0}
