regime,mode,steps_after_trigger,stepwise_collapse_kl
uncertain_preference,rescue,1.0,0.028305921285354432
uncertain_preference,rescue,2.0,0.017413212445458806
uncertain_preference,rescue,-5.0,0.07026644722287398
uncertain_preference,rescue,-4.0,0.2605254485844034
uncertain_preference,rescue,-3.0,0.17636677356990837
uncertain_preference,rescue,-2.0,0.6929182986198785
uncertain_preference,rescue,-1.0,0.06821618168671778
uncertain_preference,rescue,-3.0,1.5138676514388454
uncertain_preference,rescue,-2.0,0.0
uncertain_preference,rescue,-1.0,0.4343513652728268
uncertain_preference,rescue,0.0,13.250701942087016
uncertain_preference,rescue,1.0,1.5187979578709736
uncertain_preference,rescue,2.0,0.06593159764603677
uncertain_preference,rescue,-5.0,0.04258314057135469
uncertain_preference,rescue,-4.0,0.10566416671185837
uncertain_preference,rescue,-3.0,1.4240496822532513
uncertain_preference,rescue,-2.0,0.03310556600576397
uncertain_preference,rescue,-1.0,0.03262569153392785
uncertain_preference,rescue,-5.0,0.01363707790246943
uncertain_preference,rescue,-4.0,0.028287466752588954
uncertain_preference,rescue,-3.0,0.26657993710131433
uncertain_preference,rescue,-2.0,1.232062456233406
uncertain_preference,rescue,-1.0,0.12402995518947929
uncertain_preference,rescue,0.0,0.27253970328492244
uncertain_preference,rescue,-4.0,0.07674213781985534
uncertain_preference,rescue,-3.0,0.021668715560920232
uncertain_preference,rescue,-2.0,0.9758118384833747
uncertain_preference,rescue,-1.0,0.054877465221294566
uncertain_preference,rescue,-5.0,0.12936550631233706
uncertain_preference,rescue,-4.0,0.10691773596030969
uncertain_preference,rescue,-3.0,0.13519906078807364
uncertain_preference,rescue,-2.0,12.727857705995735
uncertain_preference,rescue,-1.0,0.1450291661036035
uncertain_preference,rescue,0.0,0.24397125290908828
uncertain_preference,rescue,-4.0,0.03122512499437926
uncertain_preference,rescue,-3.0,0.06214974747010643
uncertain_preference,rescue,-2.0,0.6526676834138805
uncertain_preference,rescue,-1.0,0.7978655054467451
uncertain_preference,rescue,-8.0,0.00620689542614887
uncertain_preference,rescue,-7.0,0.008441161436390239
uncertain_preference,rescue,-6.0,0.1329584705356862
uncertain_preference,rescue,-5.0,0.5341871167753505
uncertain_preference,rescue,-4.0,0.2055186703565896
uncertain_preference,rescue,-3.0,0.2882941377349765
uncertain_preference,rescue,-2.0,0.4873685843108023
uncertain_preference,rescue,-1.0,0.0
uncertain_preference,rescue,-5.0,0.031216639895029416
uncertain_preference,rescue,-4.0,0.3553075980027316
uncertain_preference,rescue,-3.0,0.21606169583151297
uncertain_preference,rescue,-2.0,0.758303536644185
uncertain_preference,rescue,-1.0,0.06628166162297587
