regime,t,utility,guidance,stability,nondecomposable,rep_x,rep_y,p_selfish,p_direct_team,p_trigger_success,p_noise,collapse_kl,collapse_burst,representation_jump
ordinary_gradual,13.0,0.7,0.75,0.85,0.25,0.1767721518987342,0.37931645569620254,0.21215189873417722,0.3569620253164557,0.21544303797468356,0.21544303797468356,0.040700755623626995,0.005844670773507095,0.008303922891920931
ordinary_gradual,14.0,0.7,0.75,0.85,0.25,0.17113924050632912,0.3854177215189873,0.20924050632911392,0.3651898734177215,0.21278481012658226,0.21278481012658226,0.046971337187975845,0.00627058156434885,0.00830392289192091
ordinary_gradual,15.0,0.7,0.75,0.85,0.25,0.16550632911392404,0.39151898734177215,0.20632911392405062,0.37341772151898733,0.21012658227848102,0.21012658227848102,0.05366364794864835,0.006692310760672504,0.008303922891920992
ordinary_gradual,16.0,0.7,0.75,0.85,0.25,0.15987341772151897,0.397620253164557,0.20341772151898735,0.3816455696202532,0.20746835443037975,0.20746835443037975,0.06077383065678708,0.007110182708138728,0.008303922891920992
ordinary_gradual,17.0,0.7,0.75,0.85,0.25,0.15424050632911393,0.40372151898734177,0.20050632911392405,0.38987341772151896,0.20481012658227848,0.20481012658227848,0.06829833694727129,0.007524506290484213,0.008303922891920891
ordinary_gradual,18.0,0.7,0.75,0.85,0.25,0.14860759493670886,0.4098227848101266,0.19759493670886077,0.3981012658227848,0.20215189873417722,0.20215189873417722,0.07623391347793347,0.00793557653066218,0.00830392289192095
ordinary_gradual,19.0,0.7,0.75,0.85,0.25,0.1429746835443038,0.41592405063291144,0.19468354430379747,0.4063291139240507,0.19949367088607597,0.19949367088607597,0.0845775895244782,0.008343676046544735,0.008303922891920992
ordinary_gradual,20.0,0.7,0.75,0.85,0.25,0.13734177215189874,0.4220253164556962,0.19177215189873417,0.41455696202531644,0.19683544303797468,0.19683544303797468,0.09332666590502295,0.008749076380544743,0.008303922891920891
ordinary_gradual,21.0,0.7,0.75,0.85,0.25,0.13170886075949367,0.428126582278481,0.1888607594936709,0.42278481012658226,0.1941772151898734,0.1941772151898734,0.1024787051250002,0.009152039219977245,0.00830392289192095
ordinary_gradual,22.0,0.7,0.75,0.85,0.25,0.12607594936708866,0.43422784810126586,0.18594936708860763,0.4310126582278481,0.19151898734177217,0.19151898734177217,0.1120315226478679,0.009552817522867713,0.008303922891920954
