Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[pair_I] {"steps": 100352, "elapsed_s": 1544.6, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 3.0, "centre_pots_potter0_20": 0.55}
[pair_I] {"steps": 102400, "elapsed_s": 1573.0, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.55}
[pair_I] {"steps": 104448, "elapsed_s": 1599.3, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.5}
[pair_I] {"steps": 106496, "elapsed_s": 1623.3, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.55}
[pair_I] {"steps": 108544, "elapsed_s": 1652.4, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.6}
[pair_I] {"steps": 110592, "elapsed_s": 1687.8, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.65}
[pair_I] {"steps": 112640, "elapsed_s": 1727.3, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.55}
[pair_I] {"steps": 114688, "elapsed_s": 1763.6, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.55}
[pair_I] {"steps": 116736, "elapsed_s": 1794.0, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.55}
[pair_I] {"steps": 118784, "elapsed_s": 1824.6, "asymmetric_advantages_sparse20": 0.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.55}
[pair_I] {"steps": 120832, "elapsed_s": 1864.4, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.5}
[pair_I] {"steps": 122880, "elapsed_s": 1888.9, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.5}
[pair_I] {"steps": 124928, "elapsed_s": 1920.8, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.6}
[pair_I] {"steps": 126976, "elapsed_s": 1939.0, "asymmetric_advantages_sparse20": 1.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.65}
[pair_I] {"steps": 129024, "elapsed_s": 1953.7, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.65}
[pair_I] {"steps": 131072, "elapsed_s": 1971.8, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.7}
[pair_I] {"steps": 133120, "elapsed_s": 1992.6, "asymmetric_advantages_sparse20": 3.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 135168, "elapsed_s": 2014.2, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.8}
[pair_I] {"steps": 137216, "elapsed_s": 2034.7, "asymmetric_advantages_sparse20": 2.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.85}
[pair_I] {"steps": 139264, "elapsed_s": 2053.4, "asymmetric_advantages_sparse20": 4.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 2.0, "centre_pots_potter0_20": 0.85}
[pair_I] {"steps": 141312, "elapsed_s": 2075.0, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.9}
[pair_I] {"steps": 143360, "elapsed_s": 2093.5, "asymmetric_advantages_sparse20": 6.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.9}
[pair_I] {"steps": 145408, "elapsed_s": 2111.5, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.85}
[pair_I] {"steps": 147456, "elapsed_s": 2134.1, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.85}
[pair_I] {"steps": 149504, "elapsed_s": 2156.2, "asymmetric_advantages_sparse20": 5.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 151552, "elapsed_s": 2177.8, "asymmetric_advantages_sparse20": 6.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.75}
[pair_I] {"steps": 153600, "elapsed_s": 2196.1, "asymmetric_advantages_sparse20": 7.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 1.0, "centre_pots_potter0_20": 0.65}
[pair_I] {"steps": 155648, "elapsed_s": 2215.3, "asymmetric_advantages_sparse20": 6.0, "asymmetric_advantages_potter0_20": 1.0, "centre_pots_sparse20": 0.0, "centre_pots_potter0_20": 0.7}
