Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[cramped_room s8801] steps 247808 sparse20 7.0 potter0 0.55 (144.1s)
[cramped_room s8801] steps 249856 sparse20 11.0 potter0 0.45 (145.3s)
[cramped_room s8801] steps 251904 sparse20 10.0 potter0 0.5 (146.6s)
[cramped_room s8801] steps 253952 sparse20 12.0 potter0 0.5 (148.0s)
[cramped_room s8801] steps 256000 sparse20 11.0 potter0 0.3 (149.5s)
[cramped_room s8801] steps 258048 sparse20 11.0 potter0 0.35 (150.6s)
[cramped_room s8801] steps 260096 sparse20 12.0 potter0 0.3 (151.8s)
[cramped_room s8801] steps 262144 sparse20 14.0 potter0 0.3 (152.9s)
[cramped_room s8801] steps 264192 sparse20 15.0 potter0 0.3 (154.1s)
[cramped_room s8801] steps 266240 sparse20 15.0 potter0 0.4 (155.2s)
[cramped_room s8801] steps 268288 sparse20 16.0 potter0 0.4 (156.4s)
[cramped_room s8801] steps 270336 sparse20 16.0 potter0 0.35 (157.5s)
[cramped_room s8801] steps 272384 sparse20 17.0 potter0 0.35 (158.8s)
[cramped_room s8801] steps 274432 sparse20 20.0 potter0 0.3 (159.9s)
[cramped_room s8801] steps 276480 sparse20 21.0 potter0 0.3 (161.1s)
[cramped_room s8801] steps 278528 sparse20 28.0 potter0 0.35 (162.2s)
[cramped_room s8801] steps 280576 sparse20 30.0 potter0 0.4 (163.4s)
[cramped_room s8801] steps 282624 sparse20 31.0 potter0 0.35 (164.5s)
[cramped_room s8801] steps 284672 sparse20 29.0 potter0 0.3 (165.6s)
[cramped_room s8801] steps 286720 sparse20 27.0 potter0 0.3 (166.8s)
[cramped_room s8801] steps 288768 sparse20 30.0 potter0 0.35 (167.9s)
[cramped_room s8801] steps 290816 sparse20 30.0 potter0 0.35 (169.1s)
[cramped_room s8801] steps 292864 sparse20 30.0 potter0 0.4 (170.2s)
[cramped_room s8801] steps 294912 sparse20 28.0 potter0 0.45 (171.4s)
[cramped_room s8801] steps 296960 sparse20 25.0 potter0 0.45 (172.5s)
[cramped_room s8801] steps 299008 sparse20 25.0 potter0 0.4 (173.7s)
[cramped_room s8801] steps 301056 sparse20 22.0 potter0 0.35 (174.8s)
[cramped_room s8801] steps 303104 sparse20 23.0 potter0 0.35 (176.1s)
[cramped_room s8801] steps 305152 sparse20 26.0 potter0 0.45 (177.5s)
[cramped_room s8801] steps 307200 sparse20 27.0 potter0 0.55 (178.9s)
[cramped_room s8801] steps 309248 sparse20 33.0 potter0 0.45 (180.1s)
